ID,年度（平成）,問題番号,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,回答,解説
51,27,3,"次のａ～ｅの文は，測量作業機関が公共測量を行う場合に留意しなければならないことについて述べたものである。
明らかに間違っているものは幾つあるか。次の中から選べ。

a. 現地での測量作業において，作業者の安全の確保について適切な措置を講じるよう努めた。
b. 測量計画機関から貸与された測量成果を，他の測量計画機関から受注した作業においても有効活用するために，社内で適切に保管した。
c. 国立公園内の特別地域内でやむを得ず樹木伐採の必要が生じたため，測量計画機関へ報告し，環境大臣に伐採の許可を申請した。
d. 基準点測量において，業務を効率的に進めるため，測量計画機関の承諾を得ずに，平均計算を他の測量作業機関に請け負わせた。
e. 情報の管理は非常に重要であることから，社内で情報セキュリティ講習会を定期的に実施し，従業員を参加させた。",０（間違っているものは１つもない）,１つ,２つ,３つ,４つ,3,"公共測量実施時の注意事項に関する問題である。問題各文について考えると次のようになる。


a.    正しい。問題文の通り。作業者の安全確保に関する文章である。（作業規程の準則 第10条）

b.    間違い。貸与された測量成果は，作業完了時までに返却しなければならない。

c.    正しい。国立公園は環境大臣，国定公園は都道府県知事の許可が必要である。（自然公園法 第20条3）

d.    間違い。作業計画に関する文章。作業機関は事前に作業計画等を計画機関に提出し，その承認を得る必要がある。
作業計画等を変更しようとする場合も同様。（作業規程の準則 第11条）

e.    正しい。関係法令等の遵守に関する文章。財産権，労働，安全，交通，土地利用規制，環境保全，個人情報の保護等に関する法令を遵守し，かつ，これらに関する社会的慣行を尊重しなければならない。
（作業規程の準則 第4条）

　よって，間違っている文章は ｂ，ｄ の２つである。"
52,27,4,"次のａ～ｅの文は，測量法における測量の基準について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a. 位置は，天文学的経緯度及び東京湾平均海面からの高さで表示する。
b. 測量の原点は，日本経緯度原点及び日本水準原点である。
c. 平成23 年（2011 年）東北地方太平洋沖地震による地殻変動に伴い，測量の原点の位置が移動し，原点数値にかい離が生じたことから，測量の正確さを確保するため，原点数値を改正した。
d. 公共測量における距離及び面積は，日本測地系で想定された回転楕円体の表面上における値で表示する。
e. ジオイドは，平均海面を陸地に延長したと仮定した場合にできる面であり，その形状はゆるやかな凹凸を持ち，局所的には複雑な形状となっているため，水平位置を求める測量の基準面には適していない。",ａ，ｂ,ａ，ｄ,ｂ，ｃ,ｃ，ｅ,ｄ，ｅ,2,"測量の基準に関する問題である。問題各文について考えると次のようになる。

a.    間違い。天文学的経緯度ではなく，「地理学的経緯度」である。（測量法11条1）

b.    正しい。問題文の通り。（測量法11条3）

c.    正しい。問題文の通り。（測量法施行令 第2条1）

d.    間違い。日本測地系ではなく，「世界測地系」である。（測量法 第11条2）

e.    正しい。問題文の通り。このために回転楕円体がある。（測量法 第11条3）

よって，間違っている文章は ａ，ｄ となる。"
53,27,5,"次の文は，公共測量におけるセミ・ダイナミック補正及びその関連事項について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",セミ・ダイナミック補正とは，現在公開している基準点の測量成果と，測量して得た観測結果との間に生じる定常的な地殻変動に起因するかい離を補正するものである。,セミ・ダイナミック補正に使用する補正パラメータファイルは，適用期間が決められている。,定常的な地殻変動によるひずみの影響は，元期からの経過時間や点間の距離が長いほど大きい。,１級基準点測量において，電子基準点のみを既知点とする場合は，標高補正パラメータファイルを使用したセミ・ダイナミック補正を適用しなければならない。,新点の測量成果は，既知となる基準点の測量成果に補正量を加え，測量計算（網平均計算）を行った後，求められた新しい基準点の位置情報から補正量を差し引くことで求めることができる。,4,"セミ・ダイナミック補正に関する問題である。問題文は、「公共測量によるセミ・ダイナミック補正マニュアル（以下，マニュアル）」（2013.06：国土地理院）から出題されている。問題各文について考えると次のようになる。

1.	正しい。問題文の通り。
セミ・ダイナミック補正の目的である。（マニュアル 第1条）
2.	正しい。問題文の通り。
国土地理院が提供する補正パラメータは、定期的に更新され、パラメータ毎に適用期間が設定されている。（マニュアル 第4条）
3.	正しい。問題文の通り。
地殻変動なので，そのひずみは累積する。
また，遠方の電子基準点を既知点とした場合は，補正を行わないと近傍の基準点との整合性が図れない。（マニュアル 序文）
4.	間違い。
標高補正パラメータではなく，国土地理院が提供する，「地殻変動補正パラメータ」である。(マニュアル 第2条)
5.	正しい。問題文の通り。
セミ・ダイナミック補正とは，既知点の元期座標を今期（こんき）座標に補正し，新点の今期座標を元期座標に補正する事である。(マニュアル 第9条)"
54,27,7,"次の文は，公共測量におけるGNSS 測量機を用いた基準点測量を行う際のPCV 補正について述べたものである。 
ア ～ エ に入る語句の組み合わせとして最も適当なものはどれか。次の中から選べ。

GNSS 衛星からの電波をGNSS アンテナにおいて受信する際，電波の　ア　によって受信する位置（位相中心）が変化することをPCV（Phase Center Variation）という。
その変化量は，アンテナ機種によって異なっており，アンテナ　イ　という。
このアンテナ　イ　による位相中心のずれを補正することをPCV 補正といい，PCV 補正を適用することにより，同一セッションにおける　ウ　間観測での精度を確保することが可能となる。
なお，PCV 補正を適用する際の器械高は，測量標の上面からアンテナ　エ　までの高さとしなければならない。",入射角 オフセット 同一機種 位相中心,反射角 オフセット 異機種   位相中心,入射角 位相特性   異機種   位相中心,反射角 位相特性   同一機種 底面,入射角 位相特性   異機種   底面,5,"GNSS測量における，PCV補正に関する問題である。ア～エに入る適当な語句を当てはめると，次のようになる。

　GNSS衛星からの電波をGNSSアンテナにおいて受信する際，電波の 　入射角　 によって受信する位置（位相中心）が変化することをPCV（Phase Center Variation）という。
　その変化量は，アンテナ機種によって異なっており，アンテナ 　位相特性　 という。
　このアンテナ 　位相特性　 による位相中心のずれを補正することをPCV補正といい，PCV補正を適用することにより，同一セッションにおける 　異機種　 間観測での精度を確保することが可能となる。
　なお，PCV補正を適用する際の器械高は，測量標の上面からアンテナ 　底面　 までの高さとしなければならない。

　よって，正しい語句の組合せは，５となる。"
55,27,8,"次の文は，公共測量におけるGNSS 測量機を用いた基準点測量について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",GNSS 衛星の軌道情報は放送暦を標準とする。,電離層における伝播遅延に起因する誤差は，２周波観測により軽減することができる。,対流圏における伝播遅延に起因する誤差の補正は，基線解析ソフトウェアで採用している標準大気により行う。,GLONASS 衛星を用いて観測する場合は，GPS 衛星及びGLONASS 衛星を，それぞれ２衛星以上用いる必要がある。,スタティック法によるGNSS 観測において，GPS 衛星及びGLONASS 衛星を用いて観測する場合は，これらの衛星を４衛星以上使用する。,5,"GNSSを用いた基準点測量に関する文書である。問題各文について考えると次のようになる。

1. 正しい。GNSS衛星に搭載された日付情報を放送暦と呼ぶ(ユリウス日という通算日になっている)。
2. 正しい。周波数の異なるＬ1帯とＬ2帯の２周波を同時受信し，両周波の伝播距離の差を解析し電離層遅延を補正している。
3. 正しい。標準的な気象要素の値を用い，近似的に補正が行われる。
4. 正しい。GPS衛星とGLONASS衛星の間では，二重位相差が作れないため，２つの衛星が必要となる。
5. 間違い。スタティック法では，GPS衛星のみを使用する場合は同時に４衛星以上。
GPS衛星とGLONASS衛星を併用する場合は，同時に５衛星以上使用する。
（GPS２衛星+GLONASS３衛星，またはGPS３衛星+GLONASS２衛星）とし，10㎞以上の観測では，６衛星以上必要となる。

　よって，間違っている文書は５となる。"
56,27,9,"次の ａ～ｅ の文は，公共測量における水準測量について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a. 直接水準測量で結ぶことができない水準路線は，渡海（河）水準測量により連結するものとする。
b. １級水準測量における直接水準測量の場合，標尺目盛の読定単位は 0.1 ㎜を標準とする。
c. 地盤沈下地域における水準測量では，変動量を基準日に統一するため，地殻変動補正パラメータを用いた変動量補正計算を行う。
d. １級水準測量及び２級水準測量において再測を行った場合，同方向の観測値を採用するものとする。
e. 点検計算の許容範囲のうち，既知点から既知点までの閉合差は，Ｓを㎞単位で表した片道の観測距離とした時，１～３級水準測量では，15 ㎜√Ｓ が標準である。",ａ，ｂ,ａ，ｅ,ｂ，ｄ,ｃ，ｄ,ｃ，ｅ,4,"公共測量における水準測量全般に関する問題である。問題各文について考えると次のようになる。

a.正しい。水準路線は，２点以上の既知点を結合する路線を言う。
直接水準測量で結ぶ事のできない水準路線は，問題文のように渡海（河）水準測量により連結される。

b.正しい。１級水準測量の場合，視準距離は最大50ｍ，読定単位は0.1㎜である。

c.間違い。問題文のように，変動量を基準日に統一するため変動量補正計算を行うが，地殻変動補正パラメータは必要がない。
地殻変動補正パラメータは，セミ・ダイナミック補正に用いられる。

d.間違い。同方向の観測値を採用してはいけない。

e.正しい。点検計算の許容範囲は，問題文の場合 15㎜√Ｓ である。環閉合差の場合，１級で2㎜√Ｓ，２級で5㎜√Ｓ，３級で10㎜√Ｓ となる。

　よって，間違っている文章は ｃ，ｄとなる。"
57,27,10,"次の ａ～ｃ の文は，公共測量における水準測量の観測値への補正計算について述べたものである。 
ア ～ オ に入る語句の組合せとして最も適当なものはどれか。次の中から選べ。

a. 水準点の標高は，観測値に対し，必要に応じて　ア　，　イ　及び変動量補正を実施し，平均計算を行って求める。このうち　ア　及び　イ　は，１～２級水準測量について行う。
b. １級水準測量においては，　イ　計算に代えて　ウ　計算を行う事ができる。
c. 　エ　水準測量における　ア　計算は，水準点間の高低差が　オ　ｍ以上の場合に行うものとする。",標尺補正 　正規正標高補正 正標高補正 　　２級 70,標尺補正 　正規正標高補正 重力補正 　　　１級 50,標尺補正 　正標高補正 　　正規正標高補正 ２級 70,視準線補正 正標高補正 　　重力補正 　　　２級 50,視準線補正 正規正標高補正 正標高補正 　　１級 50,1,"水準測量の「計算」に関する問題である。ア　～ オ に適当な語句を当てはめると次のようになる。

a.水準点の標高は，観測値に対し，必要に応じて 標尺補正 ， 正規正標高補正 及び変動量補正を実施し，平均計算を行って求める。
このうち 標尺補正 及び 正規正標高補正 は，１～２級水準測量について行う。
　※標尺補正：外気温と標尺改正数を用いて行う。
　※正規正標高補正：楕円補正のこと。標準重力を使う。

b.１級水準測量においては， 正規正標高補正 計算に代えて 正標高補正 計算を行う事ができる。
　※正標高補正：実測された重力（局所重力）値による補正。

c.２級 水準測量における 標尺補正 計算は，水準点間の高低差が 70 ｍ以上の場合に行うものとする。

　よって，正しい語句の組合せは １ となる。"
58,27,13,"次のａ～ｅの文は，公共測量における地形測量のうち，GNSS 測量機を用いた細部測量について述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a. 地形，地物等の測定を行うほか，編集時に必要となる地名，建物の名称，取得したデータの結線のための情報に関する資料を作成する。
b. 地形，地物等の測定におけるGNSS 測量機による観測は，干渉測位方式により２セット行うことを原則とし，１セット目の観測終了後に再初期化を行う。
c. キネマティック法又はRTK 法による地形，地物等の測定は，基準点又はTS 点にGNSS 測量機を整置し，放射法により行う。
d. ネットワーク型RTK 法による地形，地物等の測定は，間接観測法又は単点観測法により行う。
e. ネットワーク型RTK法の単点観測法により測定した結果が周囲の既知点と整合していない場合，高さの整合処理には楕円体高を用いることを標準とする。",ａ，ｂ,ａ，ｃ,ｂ，ｅ,ｃ，ｄ,ｄ，ｅ,3,"GNSS測量機を用いた細部測量に関する問題である。問題各文について考えると次のようになる。

a.正しい。地形，地物等の測定は基準点又はTS点から行われ，編集及び編集した図形の点検に用いる資料（測定位置確認資料）が作成される。
測定位置確認資料は問題文の通りであり，作成には，現地において図形編集装置に入力する方法と，写真等で現況等を記録する方法のいずれかが用いられる。

b.間違い。GNSS測量機による観測（キネマティック法，RTK法，ネットワーク型RTK法）では，干渉測位方式により１セット行い，初期化を行う観測点では１セットの観測終了後に再初期化を行い，２セット目の観測が行われる。
この２セット目の観測値を採用値として観測が継続される。

c.正しい。問題文の通り。キネマティック法又はRTK法による地形，地物等の測定方法である。

d.正しい。問題文の通り。単点観測法とは電子基準点（又は仮想点）を既知の固定点として１台のGNSS測量機を用いた放射法によるものである。
間接観測法とは２台のGNSS測量機を用いて，同時観測を行い結合する多角網を形成する観測方法である。

e.間違い。GNSS測量機を用いた細部測量で標高を求める場合は，地理院が提供するジオイドモデルによりジオイド高を補正して求める。
高さの整合処理は標高補正として原則標高で行う必要がある。

　よって，明らかに間違っている文章はｂ，ｅとなる。"
59,27,15,"Ａ市では，３年前に作成した地図情報レベル1000 の数値地形図データを公共測量により修正することになった。
次の文は，その作業内容について述べたものである。明らかに間違っているものはどれか。次の中から選べ。",公共測量で半年前に作成した縮尺 1/500 の平面図の数値地形図データを用い，経年変化箇所の修正データを取得した。,"他機関が１年前にフイルム航空カメラで撮影した撮影縮尺 1/12,500 の空中写真を使用し，図化により修正データを取得した。",市域の一部において他機関が１年前に作成した地図情報レベル 1000 の基盤地図情報が公開されていたため，当該基盤地図情報に係る項目のうち，修正の対象となる項目を取得しそのまま利用した。,経年変化箇所において，ネットワーク型RTK 法による単点観測法で修正データを取得した。,移動計測車両による測量システムを用い，道路の経年変化箇所の修正データを取得した。,2,"修正測量に関する問題である。問題各文について考えると次のようになる。
（修正測量：既成の数値地形図データのファイルを更新する作業）

1.正しい。1/500 データはレベル1000よりも情報量が多く，修正前のデータよりも作成年が新しいため，用いることができる。

2.間違い。撮影年は問題が無い。しかし，レベル1000の数値地形図を修正するためには，1/6,000～8,000の撮影縮尺が必要となる。

3.正しい。作成年，レベルともに問題は無く，他の数値地形図データを修正に用いても問題は無い。

4.正しい。問題文の通り。予察結果に基づき、ネットワーク型ＲＴＫ法により、修正データを取得しても何ら問題は無い。

5.正しい。H24年5月に国土地理院から「移動計測車両により測量システムを用いる数値地形データ作成マニュアル(案)」が発表された。"
60,27,16,"次のａ～ｅの文は，デジタル航空カメラを用いて撮影した等高度鉛直空中写真の性質について述べたものである。
明らかに間違っているものは幾つあるか。次の中から選べ。

ただし，ａ～ｅの各撮影はそれぞれ独立のものであり，その撮影条件及び撮影対象範囲は，それぞれの文中に示されたことを除いて同一とする。

a. 同一コース内の隣接空中写真間の重複度が大きいほど，撮影基線長は短くなる。
b. 隣接コースの空中写真との重複度が大きいほど，１コース当たりの撮影枚数は多くなる。
c. 撮影基準面からの撮影高度が高いほど，撮影基準面における地上画素寸法は小さくなる。
d. 撮像面の素子数（画面の画素数）が多いほど,撮影基準面における地上画素寸法は大きくなる。
e. カメラの画面距離が長いほど，空中写真１枚に写る範囲は広くなる。",０（間違っているものは１つもない。）,１つ,２つ,３つ,４つ,5,"空中写真の特徴に関する問題である。各選択肢について考えると次のようになる。

a.正しい。１組の空中写真で主点間の長さを考えれば良い。
重複度が大きければ互いの写真主点が近づくため，基線長が短くなる。

b.間違い。隣接コースの空中写真（サイドラップ）の重複度と１コースの枚数は関係がない。
オーバーラップの重複度が大きいと１コース当たりの撮影枚数は多くなる。

c.間違い。撮影高度が高いほど写真縮尺が小さくなるため，地上画素寸法は大きくなる。

d.間違い。撮像面の画素数が多い（高解像度）であるため，地上画素寸法は小さくなる。

e.間違い。画面距離（焦点距離）が長いと視野が狭くなるので写真範囲も狭くなる。

　よって，明らかに間違っているのは ｂ，ｃ，ｄ，ｅの４つとなる。"
61,27,17,"次の文は，公共測量における空中写真測量で用いる GNSS/IMU 装置について述べたものである｡
ア ～ オ に入る語句の組合せとして最も適当なものはどれか｡次の中から選べ。

GNSS/IMU 装置とは，空中写真の外部標定要素を算出するため，航空機搭載のGNSS 測量機　ア　及び空中写真の露出時の　イ　を検出するための　ウ　のジャイロで構成されるIMU（慣性計測装置），解析ソフトウェア，電子計算機及び周辺機器で構成ざれるシステムである｡
このうち,GNSS ｱﾝﾃﾅは　エ　に，IMU は　オ　に取り付ける。",加速度計 傾き ３軸 　航空カメラ本体 機体頂部,高度計 　高度 ３軸 　機体頂部 　　　航空カメラ本体,高度計 　傾き ＸＹ軸 航空カメラ本体 機体頂部,高度計 　高度 ＸＹ軸 機体頂部 　　　機体頂部,加速度計 傾き ３軸 　機体頂部 　　　航空カメラ本体,5,"GNSS / IMU に関する問題である。問題文に正しい語句を当てはめると次のようになる。

GNSS/IMU 装置とは，空中写真の外部標定要素を算出するため，航空機搭載のGNSS測量機，　加速度計　 及び空中写真の露出時の 　傾き　 を検出するための 　３軸　 のジャイロで構成されるIMU（慣性計測装置），解析ソフトウェア，電子計算機及び周辺機器で構成ざれるシステムである｡
このうち,GNSSｱﾝﾃﾅは 　機体頂部　 に，IMUは 　航空カメラ本体　 に取り付ける。

　よって，正しい語句の組合せは５となる。"
62,27,20,"次のａ～ｅの文は,リモートセンシングについて述べたものである。
明らかに間違っているものだけの組合せはどれか。次の中から選べ。

a. 合成開口レーダ（SAR）によく使用される周波数帯には，Ｌバンド，Ｘバンドがある｡
b. 近赤外線の波長帯は，可視光の波長帯に比べて植物からの反射率が高い。
c. 実体視可能な像が得られる地球観測衛星も実用化されており，この画像から標高データを取得できる。
d. マイクロ波センサは光学センサに比べて波長の短い電波を使用するため，雲の影響を受けにくい。
e. 合成開口レーダ（SAR）は，観測対象物が自ら放射する電波を受信して，その性質を調べる受動型センサである。",ａ，ｂ,ａ，ｄ,ｂ，ｃ,ｃ，ｅ,ｄ，ｅ,5,"リモートセンシングに関する問題である。各選択肢について考えると次のようになる。

a.    正しい。SARに用いられる周波数帯には，Lバンド、Cバンド、Xバンドのマイクロ波周波数帯がある。
それぞれ波長が異なるためその特徴も違っている。
Lバンドは波長が長く，Xバンドは短い。
このため，Lバンドは樹木の葉を通過し地表面で反射され，Xバンドは葉で反射される。
国土地理院はLバンドの「だいち２号」を運用している。

b.    正しい。近赤外線（赤外線と可視光の中間波長）は，赤色の可視光に近い波長を持つ。
植物（緑）に対しては反射率が高く赤外線写真（近赤外線）では，緑地を撮影すると白く雪が積もったように写る。
近赤外線は家庭用リモコンに使用されている。

c.    正しい。国土地理院の「だいち」には，パンクロマチック立体視センサが搭載されており，地表の三次元データを取得できる。

d.    間違い。光学センサは可視光と赤外線を観測し，マイクロ波センサはこれより波長の長いマイクロ波を観測するため昼夜天候を問わずに観測が行える。

e.    間違い。合成開口レーダはマイクロ波を地上に発射しその反射波を受信する。
マイクロ波センサには，能動型と受動型があるが合成開口レーダは能動型である。
能動型は地表面を観測するのに適しており，受動型は自然に放射されているマイクロ波を観測するため，海面温度や積雪量などを観測するのに適している。

　よって，明らかに間違っているのはｄ，ｅとなる。"
63,27,21,"次の文は，地図投影法について述べたものである。 
ア ～ カ に入る語句を語群から選び正しい文章にしたい。
最も適当な語句の組合せはどれか。次の中から選べ。

・地図投影とは，　ア　の経緯度を　イ　の極座標値に変換する事である。
・地図上において，正角図法と正積図法の性質を同時に満足させる事は，　ウ　である。
・地球上のあらゆる地点間の距離を同一の縮尺で地図上に表示する事は，　エ　である。
・平面直角座標系(平成14 年国土交通省告示第9 号)に用いられている投影法は，　オ　である。
・　カ　は，地球上の任意の範囲の面積が縮尺に応じて地図上に正しく表示される図法である。

語 群
ａ．正角図法
ｂ．正距図法
ｃ．正積図法
ｄ．回転楕円体面上
ｅ．平面上
ｆ．理論上可能
ｇ．理論上不可能",ｄ ｅ ｆ ｇ ａ ｂ,ｄ ｅ ｇ ｆ ｃ ｃ,ｄ ｅ ｇ ｇ ａ ｃ,ｅ ｄ ｆ ｆ ｂ ａ,ｅ ｄ ｇ ｆ ｃ ｂ,3,"地図の投影法に関する問題である。正しい語句を当てはめると次のようになる。

・地図投影とは， 　d:回転楕円体面上　 の経緯度を 　e:平面上　 の極座標値に変換する事である。

・地図上において，正角図法と正積図法の性質を同時に満足させる事は， 　g:理論上不可能　 である。

・地球上のあらゆる地点間の距離を同一の縮尺で地図上に表示する事は， 　g:理論上不可能　 である。

・平面直角座標系(平成14年国土交通省告示第9号)に用いられている投影法は， 　a:正角図法　 である。

・ 　c:正積図法　 は，地球上の任意の範囲の面積が縮尺に応じて地図上に正しく表示される図法である。

　よって正しい語句の組合せは，３　となる。"
64,27,22,"次の文は，公共測量における地図情報レベル 5000 以下の数値地形図の調製における地物等の取得・表示の方法及び数値地形図データファイル仕様について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。","数値地形図に表示する対象は,測量作業時に現存し，永続性のあるものが原則であるが，建設中であっておおむね１年以内に完成する見込みのものは表示することができる。",数値地形図に表示する地物の水平位置の転位は，行わないことが原則である。,数値地形図への表現は，表示する対象をそれぞれの上方からの正射影で形状を表示することが原則である。,等高線，基準点，数値地形モデルを取得する場合の座標次元は，３次元である。,数値地形図データファイルでは，東西方向をＸ軸，南北方向をＹ軸とする数学座標系を用いる。,5,"公共測量標準図式（作業規程の準則 付録７）に関する問題である。問題各文について考えると次のようになる。

1.正しい。表示の対象として，測量作業時に現存し，永続性のあるものが原則である。
また建設中の物で，「おおむね１年以内に完成する見込みのもの。」，「永続性のないもので，特に必要と認められるもの。」も表示することができる。（第3条）

2.正しい。数値データで表されるため，転位の必要が無く原則として行わない。
出力図に限り図上0.7㎜まで許される。（第5条）

3.正しい。問題文の通り。困難なものについては，正射影の位置に定められた記号で表示される。（第4条）

4.正しい。問題文の通り。地形の座標次元は，３次元とする。（第44条）

5.間違い。数値地形図データファイルの座標軸は，測量座標系（東西方向をＹ軸，南北方向をＸ軸）とし，原点は図郭左下である。（第83条）

　よって，明らかに間違っているのは５となる。"
65,27,23,"次の文は，地理空間情報の製品仕様書について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。","地理空間情報の製品仕様書には，地理空間情報の内容,構造，データ品質などが記述されている。",地理空間情報の製品仕様書に記述する標準的な項目は，国際標準化機構（ISO）の規格として定められている。,地理空間情報の製品仕様書を新たに作成する場合には，類似の地理空間情報の製品仕様書を参考にして作成することができる。,地理空間情報の製品仕様書は，データ交換やデータを使用するときの説明書としては利用できないが，データを作成するときの設計書としては利用できる。,地理空間情報の製品仕様書は，作り方や使用する機器の性能を規定した作業規程とは異なり，作成方法にとらわれない地理空間情報の作成を可能にしている。,4,"地理空間データ製品仕様書（作成マニュアル：H26年4月）に関する問題である。問題各文について考えると次のようになる。

1.正しい。地理空間データと言う製品に要求される種々の条件について，その要求仕様をまとめたものが製品仕様書である。
2.正しい。製品仕様書は，地理情報の標準規格（地理情報標準規格群：ISO19100シリーズ）の動向を踏まえて，適宜改正が行われている。
3.正しい。地理空間情報を整備する際にその製品仕様書は次のパターンで作成される。
①標準的な製品仕様書のある場合はそれを参考に。
②新規に作成する場合にはマニュアルに従って作成する。
よって，問題文のように参考として作成することができる。
4.間違い。製品仕様書は，「作成する地理空間データの詳細な設計書」であり，「地理空間データを流通・交換する際の取扱説明書」である。
5.正しい。製品仕様という考え方（製品仕様書の利用）は，地理情報の内容，品質を明確にし、作成方法は特に指定していない。
つまり，どのような作成方法によっても内容や品質が適合していれば良いという考えである。

　よって，明らかに間違っているのは４となる。"
66,27,24,"次のａ～ｅの文は，地理空間情報活用推進基本法（平成19 年法律第63 号）における基盤地図情報について述べたものである。
明らかに間違っているものは幾つあるか。次の中から選べ。

a. 基盤地図情報として必要な精度は，国土交通省令で，都市計画区域と都市計画区域外のそれぞれについて定められている。
b. 都市計画区域の基盤地図情報の平面位置の誤差は2.5ｍ以内，高さの誤差は1.0ｍ以内である。
c. 都市計画基図，道路台帳図，河川基盤地図は，基盤地図情報の整備に活用することができる。
d. 基盤地図情報に係る項目は，国土交通省令で，測量の基準点，海岸線，道路の中心線，建築物の外周線などの13 項目が定められている。
e. 基盤地図情報の標高点として，国土地理院から1ｍメッシュの数値標高モデルのデータが提供されている。",０（間違っているものは１つもない）,１つ,２つ,３つ,４つ,3,"基盤地図情報に関する問題である。問題各文について考えると次のようになる。

a.    正しい。問題文の通り。
b.    正しい。問題文の通り。都市計画区域外では平面位置の誤差は25ｍ以内，高さの誤差は5.0ｍ以内としている。
c.    正しい。その他として，基準点成果表，１/25000地形図，水路測量標記事などがある。
d.    間違い。道路の中心線ではなく道路縁である。
e.    間違い。数値標高モデルは，1ｍメッシュではなく5ｍメッシュである。

　よって，明らかに間違っているものは，dとeの２つである。"
67,27,25,"次の文は，公共測量における路線測量について述べたものである。
明らかに間違っているものはどれか。次の中から選べ。",線形決定では，路線選定の結果に基づき，地形図上の交点(IP)の位置を座標として定め，線形図データファイルを作成する。,仮BM 設置測量は，平地においては４級水準測量，山地においては簡易水準測量により行う。,縦断測量は，地形，地物等の状況により，直接水準測量に代えて間接水準測量によることができる。,横断測量では中心杭等を基準にして，中心点における中心線の接線に対して直角方向の線上にある地形の変化点及び地物について測定する。,詳細測量では，主要な構造物の設計に必要な詳細平面図データファイル，縦断面図データファイル及び横断面図データファイルを作成する。,2,"路線測量の一般事項に関する問題である。問題各文について考えると次のようになる。

1.正しい。路線測量の線形決定に関する文章である。問題文の通り。
2.間違い。仮BM設置測量では，平地で３級水準測量，山地では４級水準測量により行う。
3.正しい。縦断測量では，問題文のように間接水準測量によることができる。
間接水準測量では，TSを用いた単観測昇降式による往復観測とする。
4.正しい。路線測量の横断測量に関する文章である。問題文の通り。
5.正しい。路線測量の詳細測量に関する文章である。問題文の通り。

　よって，明らかに間違っているのは２となる。"
68,27,27,"次の文は，公共測量における用地測量について述べたものである。
その内容として最も不適切なものはどれか。次の中から選べ。",公図等転写連続図の作成において，字界の線形が隣接する公図間で相違し，そのままでは接合が困難な部分があったため，接合部が合致するように字界を調整した。,権利者確認調査のため，測量計画機関から貸与された資料を基に権利者調査表を作成した。,境界杭の亡失があり，復元すべき位置に仮杭を設置した。その際，関係権利者への事前説明は実施したが，現地での関係権利者の立会いは行わなかった。,境界点に既設の標識が設置されていたため，関係権利者の同意を得てそれを境界点とした。,用地平面図データファイルを作成するため，現地において建物などの主要地物を測定した。,1,"用地測量の一般事項に関する問題である。問題各文について考えると次のようになる。

1.間違い。公図等の転写において転写連続図は、無理な調整はせず、公図等に記載されているままに転写し作成する。
転写連続図提出の意義は法務局等に備えられている地図や地図に準ずる図面の現状を報告するためのものであり、調整計算を行って図化したものが用地実測図原図であり、それに地形地物を重ねたものが用地平面図である。
これらの図面で調整を行えばよいためである。
2.正しい。権利者確認調査に関する文章である。問題文の通り。
3.正しい。関係権利者に立入りについての日程を通知し，復元杭設置に関する事前説明を実施するが，原則として関係権利者による立会いは行われない。
4.正しい。境界確認に関する文章である。問題文の通り。
5.正しい。用地平面図データファイルは，用地実測図データの境界点の座標値等必要項目を抽出するとともに，建物等及び工作物の主要地物を測定し作成する。

　よって，明らかに間違っているのは１となる。"
